variant,symbol,gross_alpha_contribution,net_alpha_contribution,pct_of_variant_net_alpha,abs_pct_of_variant_net_alpha,fee_cost_total,slippage_cost_total,funding_cost_total,total_cost,holding_days,long_days,short_days,is_baseline_top5_positive_symbol
baseline_current_long_short,BYBIT:ARBUSDT.P,-0.006426053355306986,-0.006396869155306986,-0.0224195452983894,0.0224195452983894,1.1e-05,1e-05,-5.018420000000001e-05,-2.918420000000001e-05,30,0,30,False
baseline_current_long_short,BYBIT:AVAXUSDT.P,-0.006432356247677396,-0.007069585072677399,-0.024777258832348614,0.024777258832348614,6.40909090909091e-05,8.545454545454546e-05,0.0004876833704545455,0.0006372288250000001,249,249,0,False
baseline_current_long_short,BYBIT:RSRUSDT.P,-0.0063445073196112724,-0.007374166319611271,-0.025844745582020327,0.025844745582020327,2.9999999999999997e-05,4e-05,0.0009596590000000002,0.0010296590000000003,214,214,0,False
baseline_current_long_short,BYBIT:MASKUSDT.P,-0.008885131863818504,-0.008373830063818503,-0.02934833554959346,0.02934833554959346,1.4999999999999999e-05,2e-05,-0.0005463018000000001,-0.0005113018000000001,26,26,0,False
baseline_current_long_short,BYBIT:NEOUSDT.P,-0.008215869806216086,-0.008907351006216086,-0.031218202924604352,0.031218202924604352,2.6e-05,3.0000000000000004e-05,0.0006354812000000001,0.0006914812000000002,90,29,61,False
baseline_current_long_short,BYBIT:BATUSDT.P,-0.010761176186582653,-0.010172328186582653,-0.03565165505690705,0.03565165505690705,4.4999999999999996e-05,6.000000000000001e-05,-0.0006938480000000002,-0.0005888480000000001,369,63,306,False
baseline_current_long_short,BYBIT:KSMUSDT.P,-0.011570706841440483,-0.01092145051644049,-0.03827715537597318,0.03827715537597318,1.94375e-05,2.125e-05,-0.0006899438250000003,-0.0006492563250000003,546,0,546,False
baseline_current_long_short,BYBIT:AXSUSDT.P,-0.005957229206640248,-0.01110508507621095,-0.03892075199037447,0.03892075199037447,3.766666666666666e-05,4.555555555555555e-05,0.0050646336473484845,0.005147855869570707,607,0,607,False
baseline_current_long_short,BYBIT:ZENUSDT.P,-0.011174454113537277,-0.011436854113537277,-0.04008352565048128,0.04008352565048128,2.9999999999999997e-05,4e-05,0.00019240000000000004,0.00026240000000000004,61,61,0,False
baseline_current_long_short,BYBIT:UNIUSDT.P,-0.010553100136927725,-0.011878211936927723,-0.04163038263224266,0.04163038263224266,2.6e-05,3.0000000000000004e-05,0.0012691118000000001,0.0013251118000000002,425,425,0,False
